alpha,rmse,r
149.3396,0.17127813887165128,-0.5956432443213316
146.67299999999997,0.17153659712564112,-0.5964427555359878
144.00639999999999,0.17180524400878544,-0.5972705481765038
141.3398,0.17208468405268432,-0.5981281157206437
138.67319999999998,0.17237556989865205,-0.5990170559378207
136.0066,0.1726786071206454,-0.599939079868581
133.33999999999997,0.17299455963362803,-0.600896021711069
130.6734,0.17332425577110003,-0.6018898497174113
128.0068,0.17366859512934732,-0.6029226782152939
125.3402,0.1740285562923912,-0.60399678088401
122.6736,0.1744052055711813,-0.6051146054297174
120.007,0.1747997069139613,-0.6062787898218638
117.3404,0.17521333317277127,-0.6074921802717093
114.6738,0.17564747894477964,-0.6087578511546781
112.0072,0.17610367524785467,-0.6100791271007832
109.3406,0.17658360633910947,-0.6114596075014563
106.67399999999999,0.17708912904513202,-0.6129031937063586
104.0074,0.17762229504581226,-0.6144141192094753
101.3408,0.1781853766433632,-0.6159969831488031
98.6742,0.17878089665846092,-0.6176567874665955
96.0076,0.17941166323169114,-0.6193989780945011
93.341,0.18008081047749802,-0.6212294905362863
90.6744,0.1807918461483422,-0.6231548002138076
88.0078,0.18154870773011067,-0.6251819779112643
85.3412,0.18235582872068237,-0.6273187505854162
82.6746,0.18321821726108098,-0.62957356768787
80.008,0.18414154981782702,-0.6319556729431564
77.34140000000001,0.18513228328868797,-0.6344751812068202
74.6748,0.18619778976494347,-0.6371431595382996
72.0082,0.18734651928789545,-0.6399717108904017
69.3416,0.1885881973595474,-0.6429740577367496
66.675,0.18993406580366556,-0.6461646213869693
64.0084,0.19139717794901295,-0.6495590904775247
61.34179999999999,0.19299276218173508,-0.6531744689056402
58.6752,0.19473867188950122,-0.6570290889372057
56.008599999999994,0.19665594493823216,-0.6611425689097667
53.34199999999999,0.19876950235505758,-0.6655356863118432
50.675399999999996,0.20110902410068826,-0.6702301254348775
48.008799999999994,0.20371004985351138,-0.675248043708169
45.3422,0.20661536442043443,-0.6806113820068836
42.675599999999996,0.20987673978089483,-0.6863408222434367
40.00899999999999,0.2135571162589141,-0.6924542725182843
37.3424,0.217733308093027,-0.6989647402340746
34.675799999999995,0.2224993021876703,-0.7058774418377556
32.0092,0.2279701625369223,-0.7131859903846528
29.3426,0.23428642567037478,-0.7208674492910516
26.676,0.24161864288224957,-0.728875730009169
24.0094,0.2501714094040379,-0.7371315380614454
21.3428,0.2601860221330706,-0.7455028063892064
18.6762,0.2719414324756,-0.7537571160758318
16.0096,0.28575498864113696,-0.761435523132416
13.342999999999998,0.3019826196776032,-0.7675256001795695
10.6764,0.32097323487167995,-0.7696910746256694
8.0098,0.3426752114376482,-0.7628412906078171
5.3431999999999995,0.3648833033053738,-0.7386657718523439
2.6765999999999996,0.3819197500161164,-0.6946689252100829
0.01,0.44009260987617177,-0.5318912420711897
