trial,rt,response,img,recording,world,true_goal,filler,base_probe,distractor_probe,true_color,answer,probetype,probe_num,object,worldtype,pid,confidence,correct_conf,correct
3,15610,100,assets/targets/hh_hl_unlink_plinko_0269/img.jpg,assets/targets/hh_hl_unlink_plinko_0269/recording.mp4,hh_hl_unlink_plinko_0269,goal_3,False,assets/targets/hh_hl_unlink_plinko_0269/base1blue.jpg,assets/targets/hh_hl_unlink_plinko_0269/col11red.jpg,blue,1,col1,1,topbump_1,maybe,5bf0b1ecaf38d100016bd609,50,100,1
4,15747,0,assets/targets/lh_ll_unlink_plinko_0001/img.jpg,assets/targets/lh_ll_unlink_plinko_0001/recording.mp4,lh_ll_unlink_plinko_0001,goal_1,False,assets/targets/lh_ll_unlink_plinko_0001/base1red.jpg,assets/targets/lh_ll_unlink_plinko_0001/col11blue.jpg,red,0,col1,1,bump_5,NA,5bf0b1ecaf38d100016bd609,50,100,1
5,9286,100,assets/targets/lh_hh_plinko_0001/img.jpg,assets/targets/lh_hh_plinko_0001/recording.mp4,lh_hh_plinko_0001,goal_3,False,assets/targets/lh_hh_plinko_0001/base1blue.jpg,assets/targets/lh_hh_plinko_0001/col11red.jpg,blue,1,col1,1,topbump_0,NA,5bf0b1ecaf38d100016bd609,50,100,1
6,6275,0,assets/targets/hh_hl_unlink_plinko_0240/img.jpg,assets/targets/hh_hl_unlink_plinko_0240/recording.mp4,hh_hl_unlink_plinko_0240,goal_0,False,assets/targets/hh_hl_unlink_plinko_0240/base1red.jpg,assets/targets/hh_hl_unlink_plinko_0240/col11blue.jpg,red,0,col1,1,topbump_0,maybe,5bf0b1ecaf38d100016bd609,50,100,1
7,9995,0,assets/targets/lh_hh_plinko_0000/img.jpg,assets/targets/lh_hh_plinko_0000/recording.mp4,lh_hh_plinko_0000,goal_0,False,assets/targets/lh_hh_plinko_0000/base1red.jpg,assets/targets/lh_hh_plinko_0000/col11blue.jpg,red,0,col1,1,topbump_3,NA,5bf0b1ecaf38d100016bd609,50,100,1
8,11992,37,assets/targets/hh_hl_unlink_plinko_0246/img.jpg,assets/targets/hh_hl_unlink_plinko_0246/recording.mp4,hh_hl_unlink_plinko_0246,goal_2,False,assets/targets/hh_hl_unlink_plinko_0246/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0246/col21blue.jpg,red,0,col2,1,bump_4,maybe,5bf0b1ecaf38d100016bd609,13,63,1
9,5333,0,assets/targets/lh_hh_plinko_0003/img.jpg,assets/targets/lh_hh_plinko_0003/recording.mp4,lh_hh_plinko_0003,goal_4,False,assets/targets/lh_hh_plinko_0003/base1red.jpg,assets/targets/lh_hh_plinko_0003/col1blue.jpg,red,0,col1,0,topbump_1,NA,5bf0b1ecaf38d100016bd609,50,100,1
10,6977,100,assets/targets/lh_ll_unlink_plinko_0002/img.jpg,assets/targets/lh_ll_unlink_plinko_0002/recording.mp4,lh_ll_unlink_plinko_0002,goal_1,False,assets/targets/lh_ll_unlink_plinko_0002/base1blue.jpg,assets/targets/lh_ll_unlink_plinko_0002/col11red.jpg,blue,1,col1,1,topbump_2,NA,5bf0b1ecaf38d100016bd609,50,100,1
11,9327,0,assets/targets/hh_hl_unlink_plinko_0393/img.jpg,assets/targets/hh_hl_unlink_plinko_0393/recording.mp4,hh_hl_unlink_plinko_0393,goal_2,False,assets/targets/hh_hl_unlink_plinko_0393/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0393/col2blue.jpg,red,0,col2,0,bottombump_3,maybe,5bf0b1ecaf38d100016bd609,50,100,1
12,7968,0,assets/targets/hh_hl_unlink_plinko_0202/img.jpg,assets/targets/hh_hl_unlink_plinko_0202/recording.mp4,hh_hl_unlink_plinko_0202,goal_0,False,assets/targets/hh_hl_unlink_plinko_0202/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0202/col21blue.jpg,red,0,col2,1,bump_4,maybe,5bf0b1ecaf38d100016bd609,50,100,1
13,6509,0,assets/targets/lh_hh_plinko_0002/img.jpg,assets/targets/lh_hh_plinko_0002/recording.mp4,lh_hh_plinko_0002,goal_2,False,assets/targets/lh_hh_plinko_0002/base1red.jpg,assets/targets/lh_hh_plinko_0002/col11blue.jpg,red,0,col1,1,bottombump_0,definite,5bf0b1ecaf38d100016bd609,50,100,1
14,10770,74,assets/targets/lh_hh_trNM_plinko_0002/img.jpg,assets/targets/lh_hh_trNM_plinko_0002/recording.mp4,lh_hh_trNM_plinko_0002,goal_4,False,assets/targets/lh_hh_trNM_plinko_0002/base1blue.jpg,assets/targets/lh_hh_trNM_plinko_0002/col1red.jpg,blue,1,col1,0,bottombump_0,definite,5bf0b1ecaf38d100016bd609,24,74,1
0,40260,0,assets/targets/hh_hl_unlink_plinko_0246/img.jpg,assets/targets/hh_hl_unlink_plinko_0246/recording.mp4,hh_hl_unlink_plinko_0246,goal_2,False,assets/targets/hh_hl_unlink_plinko_0246/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0246/col21blue.jpg,red,0,col2,1,bump_4,maybe,67eff0475e43d9a5390ff55e,50,100,1
1,43962,0,assets/targets/lh_hh_trNM_plinko_0002/img.jpg,assets/targets/lh_hh_trNM_plinko_0002/recording.mp4,lh_hh_trNM_plinko_0002,goal_4,False,assets/targets/lh_hh_trNM_plinko_0002/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0002/col11blue.jpg,red,0,col1,1,bottombump_0,definite,67eff0475e43d9a5390ff55e,50,100,1
2,19369,0,assets/targets/lh_ll_unlink_plinko_0002/img.jpg,assets/targets/lh_ll_unlink_plinko_0002/recording.mp4,lh_ll_unlink_plinko_0002,goal_1,False,assets/targets/lh_ll_unlink_plinko_0002/base1blue.jpg,assets/targets/lh_ll_unlink_plinko_0002/col1red.jpg,blue,1,col1,0,topbump_2,NA,67eff0475e43d9a5390ff55e,50,0,0
3,21281,0,assets/targets/hh_hl_unlink_plinko_0202/img.jpg,assets/targets/hh_hl_unlink_plinko_0202/recording.mp4,hh_hl_unlink_plinko_0202,goal_0,False,assets/targets/hh_hl_unlink_plinko_0202/base1blue.jpg,assets/targets/hh_hl_unlink_plinko_0202/col11red.jpg,blue,1,col1,1,bottombump_0,maybe,67eff0475e43d9a5390ff55e,50,0,0
4,10006,0,assets/targets/lh_hh_trNM_plinko_0000/img.jpg,assets/targets/lh_hh_trNM_plinko_0000/recording.mp4,lh_hh_trNM_plinko_0000,goal_0,False,assets/targets/lh_hh_trNM_plinko_0000/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0000/col1blue.jpg,red,0,col1,0,bottombump_0,definite,67eff0475e43d9a5390ff55e,50,100,1
5,8380,0,assets/targets/hh_hl_unlink_plinko_0240/img.jpg,assets/targets/hh_hl_unlink_plinko_0240/recording.mp4,hh_hl_unlink_plinko_0240,goal_0,False,assets/targets/hh_hl_unlink_plinko_0240/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0240/col2blue.jpg,red,0,col2,0,bottombump_1,maybe,67eff0475e43d9a5390ff55e,50,100,1
6,11065,0,assets/targets/lh_hh_plinko_0002/img.jpg,assets/targets/lh_hh_plinko_0002/recording.mp4,lh_hh_plinko_0002,goal_2,False,assets/targets/lh_hh_plinko_0002/base1blue.jpg,assets/targets/lh_hh_plinko_0002/col1red.jpg,blue,1,col1,0,bottombump_0,definite,67eff0475e43d9a5390ff55e,50,0,0
7,11873,0,assets/targets/lh_hh_plinko_0003/img.jpg,assets/targets/lh_hh_plinko_0003/recording.mp4,lh_hh_plinko_0003,goal_4,False,assets/targets/lh_hh_plinko_0003/base1red.jpg,assets/targets/lh_hh_plinko_0003/col11blue.jpg,red,0,col1,1,topbump_1,NA,67eff0475e43d9a5390ff55e,50,100,1
8,8829,0,assets/targets/lh_ll_unlink_plinko_0000/img.jpg,assets/targets/lh_ll_unlink_plinko_0000/recording.mp4,lh_ll_unlink_plinko_0000,goal_3,False,assets/targets/lh_ll_unlink_plinko_0000/base1red.jpg,assets/targets/lh_ll_unlink_plinko_0000/col11blue.jpg,red,0,col1,1,topbump_0,maybe,67eff0475e43d9a5390ff55e,50,100,1
9,13928,0,assets/targets/lh_ll_unlink_plinko_0001/img.jpg,assets/targets/lh_ll_unlink_plinko_0001/recording.mp4,lh_ll_unlink_plinko_0001,goal_1,False,assets/targets/lh_ll_unlink_plinko_0001/base1blue.jpg,assets/targets/lh_ll_unlink_plinko_0001/col11red.jpg,blue,1,col1,1,bump_5,NA,67eff0475e43d9a5390ff55e,50,0,0
10,13783,0,assets/targets/hh_hl_unlink_plinko_0393/img.jpg,assets/targets/hh_hl_unlink_plinko_0393/recording.mp4,hh_hl_unlink_plinko_0393,goal_2,False,assets/targets/hh_hl_unlink_plinko_0393/base2blue.jpg,assets/targets/hh_hl_unlink_plinko_0393/col21red.jpg,blue,1,col2,1,bottombump_3,maybe,67eff0475e43d9a5390ff55e,50,0,0
11,19057,0,assets/targets/lh_hh_plinko_0000/img.jpg,assets/targets/lh_hh_plinko_0000/recording.mp4,lh_hh_plinko_0000,goal_0,False,assets/targets/lh_hh_plinko_0000/base1blue.jpg,assets/targets/lh_hh_plinko_0000/col11red.jpg,blue,1,col1,1,topbump_3,NA,67eff0475e43d9a5390ff55e,50,0,0
12,15721,0,assets/targets/lh_hh_plinko_0001/img.jpg,assets/targets/lh_hh_plinko_0001/recording.mp4,lh_hh_plinko_0001,goal_3,False,assets/targets/lh_hh_plinko_0001/base1blue.jpg,assets/targets/lh_hh_plinko_0001/col1red.jpg,blue,1,col1,0,topbump_0,NA,67eff0475e43d9a5390ff55e,50,0,0
13,11806,0,assets/targets/lh_hh_trNM_plinko_0001/img.jpg,assets/targets/lh_hh_trNM_plinko_0001/recording.mp4,lh_hh_trNM_plinko_0001,goal_2,False,assets/targets/lh_hh_trNM_plinko_0001/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0001/col11blue.jpg,red,0,col1,1,topbump_0,NA,67eff0475e43d9a5390ff55e,50,100,1
14,7839,0,assets/targets/hh_hl_unlink_plinko_0269/img.jpg,assets/targets/hh_hl_unlink_plinko_0269/recording.mp4,hh_hl_unlink_plinko_0269,goal_3,False,assets/targets/hh_hl_unlink_plinko_0269/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0269/col2blue.jpg,red,0,col2,0,topbump_3,maybe,67eff0475e43d9a5390ff55e,50,100,1
0,14474,75,assets/targets/lh_hh_plinko_0001/img.jpg,assets/targets/lh_hh_plinko_0001/recording.mp4,lh_hh_plinko_0001,goal_3,False,assets/targets/lh_hh_plinko_0001/base1blue.jpg,assets/targets/lh_hh_plinko_0001/col11red.jpg,blue,1,col1,1,topbump_0,NA,6628141ef03d907d9b2ff86d,25,75,1
1,9047,48,assets/targets/hh_hl_unlink_plinko_0269/img.jpg,assets/targets/hh_hl_unlink_plinko_0269/recording.mp4,hh_hl_unlink_plinko_0269,goal_3,False,assets/targets/hh_hl_unlink_plinko_0269/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0269/col2blue.jpg,red,0,col2,0,topbump_3,maybe,6628141ef03d907d9b2ff86d,2,52,1
2,9488,11,assets/targets/lh_hh_plinko_0000/img.jpg,assets/targets/lh_hh_plinko_0000/recording.mp4,lh_hh_plinko_0000,goal_0,False,assets/targets/lh_hh_plinko_0000/base1red.jpg,assets/targets/lh_hh_plinko_0000/col1blue.jpg,red,0,col1,0,topbump_3,NA,6628141ef03d907d9b2ff86d,39,89,1
3,7433,13,assets/targets/lh_ll_unlink_plinko_0002/img.jpg,assets/targets/lh_ll_unlink_plinko_0002/recording.mp4,lh_ll_unlink_plinko_0002,goal_1,False,assets/targets/lh_ll_unlink_plinko_0002/base1red.jpg,assets/targets/lh_ll_unlink_plinko_0002/col1blue.jpg,red,0,col1,0,topbump_2,NA,6628141ef03d907d9b2ff86d,37,87,1
4,4902,0,assets/targets/lh_hh_trNM_plinko_0000/img.jpg,assets/targets/lh_hh_trNM_plinko_0000/recording.mp4,lh_hh_trNM_plinko_0000,goal_0,False,assets/targets/lh_hh_trNM_plinko_0000/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0000/col1blue.jpg,red,0,col1,0,bottombump_0,definite,6628141ef03d907d9b2ff86d,50,100,1
5,4652,52,assets/targets/hh_hl_unlink_plinko_0202/img.jpg,assets/targets/hh_hl_unlink_plinko_0202/recording.mp4,hh_hl_unlink_plinko_0202,goal_0,False,assets/targets/hh_hl_unlink_plinko_0202/base1blue.jpg,assets/targets/hh_hl_unlink_plinko_0202/col1red.jpg,blue,1,col1,0,bottombump_0,maybe,6628141ef03d907d9b2ff86d,2,52,1
6,5609,0,assets/targets/lh_hh_trNM_plinko_0002/img.jpg,assets/targets/lh_hh_trNM_plinko_0002/recording.mp4,lh_hh_trNM_plinko_0002,goal_4,False,assets/targets/lh_hh_trNM_plinko_0002/base1red.jpg,assets/targets/lh_hh_trNM_plinko_0002/col11blue.jpg,red,0,col1,1,bottombump_0,definite,6628141ef03d907d9b2ff86d,50,100,1
7,6596,0,assets/targets/hh_hl_unlink_plinko_0246/img.jpg,assets/targets/hh_hl_unlink_plinko_0246/recording.mp4,hh_hl_unlink_plinko_0246,goal_2,False,assets/targets/hh_hl_unlink_plinko_0246/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0246/col21blue.jpg,red,0,col2,1,bump_4,maybe,6628141ef03d907d9b2ff86d,50,100,1
8,4971,100,assets/targets/lh_hh_plinko_0003/img.jpg,assets/targets/lh_hh_plinko_0003/recording.mp4,lh_hh_plinko_0003,goal_4,False,assets/targets/lh_hh_plinko_0003/base1blue.jpg,assets/targets/lh_hh_plinko_0003/col1red.jpg,blue,1,col1,0,topbump_1,NA,6628141ef03d907d9b2ff86d,50,100,1
9,5105,0,assets/targets/lh_ll_unlink_plinko_0000/img.jpg,assets/targets/lh_ll_unlink_plinko_0000/recording.mp4,lh_ll_unlink_plinko_0000,goal_3,False,assets/targets/lh_ll_unlink_plinko_0000/base1red.jpg,assets/targets/lh_ll_unlink_plinko_0000/col11blue.jpg,red,0,col1,1,topbump_0,maybe,6628141ef03d907d9b2ff86d,50,100,1
10,3482,0,assets/targets/lh_hh_plinko_0002/img.jpg,assets/targets/lh_hh_plinko_0002/recording.mp4,lh_hh_plinko_0002,goal_2,False,assets/targets/lh_hh_plinko_0002/base1red.jpg,assets/targets/lh_hh_plinko_0002/col11blue.jpg,red,0,col1,1,bottombump_0,definite,6628141ef03d907d9b2ff86d,50,100,1
11,5047,0,assets/targets/hh_hl_unlink_plinko_0393/img.jpg,assets/targets/hh_hl_unlink_plinko_0393/recording.mp4,hh_hl_unlink_plinko_0393,goal_2,False,assets/targets/hh_hl_unlink_plinko_0393/base2red.jpg,assets/targets/hh_hl_unlink_plinko_0393/col21blue.jpg,red,0,col2,1,bottombump_3,maybe,6628141ef03d907d9b2ff86d,50,100,1
12,4608,0,assets/targets/lh_ll_unlink_plinko_0001/img.jpg,assets/targets/lh_ll_unlink_plinko_0001/recording.mp4,lh_ll_unlink_plinko_0001,goal_1,False,assets/targets/lh_ll_unlink_plinko_0001/base1red.jpg,assets/targets/lh_ll_unlink_plinko_0001/col11blue.jpg,red,0,col1,1,bump_5,NA,6628141ef03d907d9b2ff86d,50,100,1
