,noise_position_moving,noise_collision_direction,noise_collision_elasticity,epsilon,rmse,r
232,9.0,0.7000000000000001,0.1,0.15000000000000002,0.09204715113824359,0.9755501875517094
233,9.0,0.8,0.1,0.15000000000000002,0.08533422825366377,0.97587314193585
234,10.0,0.0,0.1,0.2,0.08349234065809799,0.9760125892868565
235,10.0,0.1,0.1,0.15000000000000002,0.08330136682314672,0.9773595443968907
236,10.0,0.2,0.1,0.15000000000000002,0.08569342250356556,0.9759274579634452
237,10.0,0.30000000000000004,0.1,0.2,0.08696436865021683,0.9734204137323562
238,10.0,0.4,0.1,0.2,0.08509676507488052,0.974608965316541
239,10.0,0.5,0.1,0.2,0.08908010585983765,0.9725652071516724
240,10.0,0.6000000000000001,0.1,0.2,0.08760097528062732,0.972882026224734
241,10.0,0.7000000000000001,0.1,0.15000000000000002,0.09279028896053367,0.9749239728885863
242,10.0,0.8,0.1,0.2,0.08666338333162993,0.974491610432828
243,11.0,0.0,0.1,0.15000000000000002,0.09131942370088955,0.9749989893772738
244,11.0,0.1,0.1,0.1,0.09026402420710554,0.9769267598427388
245,11.0,0.2,0.1,0.2,0.08660330178502403,0.9741098548758769
246,11.0,0.30000000000000004,0.1,0.15000000000000002,0.0862180586509823,0.9761247911533006
247,11.0,0.4,0.1,0.25,0.10020501807730428,0.9652468708901913
248,11.0,0.5,0.1,0.15000000000000002,0.08708255875536686,0.9750434391764009
249,11.0,0.6000000000000001,0.1,0.15000000000000002,0.09010283003472291,0.9761936485499122
250,11.0,0.7000000000000001,0.1,0.15000000000000002,0.08938669712041367,0.9748293905779377
251,11.0,0.8,0.1,0.2,0.08612025721518962,0.9739196732934922
252,12.0,0.0,0.1,0.2,0.08940524819899093,0.9722214906792361
253,12.0,0.1,0.1,0.15000000000000002,0.08473726119211245,0.9770805744916028
254,12.0,0.2,0.1,0.2,0.08653761603697148,0.9743824924153796
255,12.0,0.30000000000000004,0.1,0.2,0.08638361695560444,0.9745052859813682
256,12.0,0.4,0.1,0.15000000000000002,0.08578397168153575,0.9757261769381799
257,12.0,0.5,0.1,0.2,0.08343492261959806,0.9758802776286859
258,12.0,0.6000000000000001,0.1,0.2,0.0871429330568848,0.9735532050969148
259,12.0,0.7000000000000001,0.1,0.2,0.08332777605732752,0.9763341395824673
260,12.0,0.8,0.1,0.2,0.09217871785726618,0.9713311324387193
261,13.0,0.0,0.1,0.15000000000000002,0.09093692385251768,0.9732064427208001
262,13.0,0.1,0.1,0.2,0.08700117441990333,0.9744092054115719
263,13.0,0.2,0.1,0.1,0.09762141671827884,0.9720443100790818
264,13.0,0.30000000000000004,0.1,0.15000000000000002,0.08679019705062745,0.9767482600282507
265,13.0,0.4,0.1,0.1,0.09330526383440738,0.9748837128850775
266,13.0,0.5,0.1,0.1,0.0946578781075368,0.9750580651994502
267,13.0,0.6000000000000001,0.1,0.15000000000000002,0.08606174723590834,0.9758400304127969
268,13.0,0.7000000000000001,0.1,0.15000000000000002,0.08432408604314418,0.9769645026870382
269,13.0,0.8,0.1,0.15000000000000002,0.08077019558583365,0.9803656723941833
270,14.0,0.0,0.1,0.15000000000000002,0.08810099838564503,0.975190260267067
271,14.0,0.1,0.1,0.15000000000000002,0.09327787167906618,0.97422223903276
272,14.0,0.2,0.1,0.15000000000000002,0.0979060748699439,0.9716184783098777
273,14.0,0.30000000000000004,0.1,0.1,0.09604572624661264,0.9745893250010633
274,14.0,0.4,0.1,0.1,0.09051781060184359,0.9768992992974286
275,14.0,0.5,0.1,0.15000000000000002,0.08763586358424719,0.977828453006251
276,14.0,0.6000000000000001,0.1,0.1,0.09773134240529525,0.9726515414246849
277,14.0,0.7000000000000001,0.1,0.15000000000000002,0.09287939428853216,0.9759462632901541
278,14.0,0.8,0.1,0.25,0.10118550706252002,0.9635298162416964
279,15.0,0.0,0.1,0.1,0.09875579375759909,0.972011822818579
280,15.0,0.1,0.1,0.1,0.09952219644717121,0.9726760567615533
281,15.0,0.2,0.1,0.1,0.09692622268773023,0.9727823751606043
282,15.0,0.30000000000000004,0.1,0.2,0.08263254161190642,0.9758344112209457
283,15.0,0.4,0.1,0.1,0.09815343565566104,0.9718297906278801
284,15.0,0.5,0.1,0.1,0.09904663983839021,0.9736692651029711
