trial,rt,response,baseimg0,baseimg1,recording0,recording1,obj_name,worldtype,sim_x_result,obj_cond,bg_cond,world,cond,count,img0,img1,background_color_idx,background_color,pid,answer,img
11,11060,92,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_0.jpg,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_1.jpg,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_0.mp4,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_1.mp4,bottombump_0,definite,187.137303264766,col_late,background,lh_hl_unlink_plinko_0049,col_late,27,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_memory_1_0.jpg,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_memory_1_0.jpg
12,8911,89,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_1.mp4,bottombump_1,definite,417.48815538692185,col_late,background,lh_ll_unlink_plinko_0217,col_late,27,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_2_0.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_2_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_2_0.jpg
13,3763,50,assets/targets/lh_hl_unlink_plinko_0111/col_late_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0111/col_late_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0111/col_late_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0111/col_late_foreground_1.mp4,bottombump_1,definite,280.68451640601694,col_late,foreground,lh_hl_unlink_plinko_0111,col_late,30,assets/targets/lh_hl_unlink_plinko_0111/col_late_background_memory_1_0.jpg,assets/targets/lh_hl_unlink_plinko_0111/col_late_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,1,assets/targets/lh_hl_unlink_plinko_0111/col_late_background_memory_1_0.jpg
14,11331,43,assets/targets/hh_hl_unlink_plinko_0246/maybecol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0246/maybecol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0246/maybecol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0246/maybecol_foreground_1.mp4,bottombump_1,maybe,210.6695830692287,maybecol,foreground,hh_hl_unlink_plinko_0246,maybecol,27,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_memory_1_1.jpg,0,brown,60477705b440ae26c4aaf5bb,0,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_memory_1_1.jpg
15,14139,50,assets/targets/lh_ll_unlink_plinko_0155/col_early_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/col_early_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0155/col_early_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0155/col_early_background_1.mp4,topbump_2,definite,485.4714915727589,col_early,background,lh_ll_unlink_plinko_0155,col_early,13,assets/targets/lh_ll_unlink_plinko_0155/col_early_background_memory_2_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/col_early_background_memory_2_1.jpg,0,brown,60477705b440ae26c4aaf5bb,0,assets/targets/lh_ll_unlink_plinko_0155/col_early_background_memory_2_1.jpg
0,82942,25,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_1.mp4,bottombump_0,maybe,66.58860255831411,maybecol,foreground,hh_hl_unlink_plinko_0105,maybecol,32,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_2_1.jpg,1,blue,64427a7ac5edfedbe0c2779b,0,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_2_1.jpg
1,24000,66,assets/targets/hh_hl_unlink_plinko_0393/col_early_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/col_early_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0393/col_early_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0393/col_early_foreground_1.mp4,topbump_2,maybe,321.6282360134022,col_early,foreground,hh_hl_unlink_plinko_0393,col_early,13,assets/targets/hh_hl_unlink_plinko_0393/col_early_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/col_early_background_memory_2_1.jpg,1,blue,64427a7ac5edfedbe0c2779b,1,assets/targets/hh_hl_unlink_plinko_0393/col_early_background_memory_2_0.jpg
2,9023,35,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_1.mp4,bottombump_1,maybe,210.6695830692287,maybecol,background,hh_hl_unlink_plinko_0246,maybecol,26,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_memory_2_1.jpg,1,blue,64427a7ac5edfedbe0c2779b,1,assets/targets/hh_hl_unlink_plinko_0246/maybecol_background_memory_2_0.jpg
3,4626,71,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_1.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_0.mp4,assets/targets/lh_hl_unlink_plinko_0110/col_late_foreground_1.mp4,bottombump_0,definite,468.6044073920636,col_late,foreground,lh_hl_unlink_plinko_0110,col_late,21,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_2_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_2_1.jpg,1,blue,64427a7ac5edfedbe0c2779b,1,assets/targets/lh_hl_unlink_plinko_0110/col_late_background_memory_2_0.jpg
4,11619,71,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_1.mp4,topbump_1,maybe,57.814349539806756,col_early,background,hh_hl_unlink_plinko_0315,col_early,12,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_2_1.jpg,1,blue,64427a7ac5edfedbe0c2779b,1,assets/targets/hh_hl_unlink_plinko_0315/col_early_background_memory_2_0.jpg
