,rt,response,baseimg0,baseimg1,recording0,recording1,obj_name,worldtype,sim_x_result,obj_cond,bg_cond,world,cond,count,img0,img1,background_color_idx,background_color,pid,answer,img
931,8906,38,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_0.jpg,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_1.jpg,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_0.mp4,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_1.mp4,bottombump_0,definite,187.137303264766,col_late,background,lh_hl_unlink_plinko_0049,col_late,24,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_memory_2_0.jpg,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,0,assets/targets/lh_hl_unlink_plinko_0049/col_late_background_memory_2_1.jpg
932,6080,56,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0105/maybecol_foreground_1.mp4,bottombump_0,maybe,66.58860255831411,maybecol,foreground,hh_hl_unlink_plinko_0105,maybecol,28,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_0.jpg,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_1.jpg,0,brown,632dd45fb49858b31338c11c,0,assets/targets/hh_hl_unlink_plinko_0105/maybecol_background_memory_1_1.jpg
933,8280,61,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_1.mp4,bottombump_1,definite,486.19575377717797,nocol,background,lh_ll_unlink_plinko_0155,nocol,12,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_memory_1_0.jpg,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_memory_1_1.jpg,0,brown,632dd45fb49858b31338c11c,0,assets/targets/lh_ll_unlink_plinko_0155/nocol_background_memory_1_1.jpg
934,5333,28,assets/targets/hh_hl_unlink_plinko_0252/nocol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/nocol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0252/nocol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0252/nocol_foreground_1.mp4,bottombump_1,maybe,414.13704636604837,nocol,foreground,hh_hl_unlink_plinko_0252,nocol,11,assets/targets/hh_hl_unlink_plinko_0252/nocol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0252/nocol_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,0,assets/targets/hh_hl_unlink_plinko_0252/nocol_background_memory_2_1.jpg
935,5238,24,assets/targets/lh_hl_unlink_plinko_0110/col_early_background_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_early_background_1.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_early_background_0.mp4,assets/targets/lh_hl_unlink_plinko_0110/col_early_background_1.mp4,topbump_1,definite,290.0,col_early,background,lh_hl_unlink_plinko_0110,col_early,16,assets/targets/lh_hl_unlink_plinko_0110/col_early_background_memory_2_0.jpg,assets/targets/lh_hl_unlink_plinko_0110/col_early_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/lh_hl_unlink_plinko_0110/col_early_background_memory_2_0.jpg
936,6807,39,assets/targets/hh_hl_unlink_plinko_0393/maybecol_foreground_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/maybecol_foreground_1.jpg,assets/targets/hh_hl_unlink_plinko_0393/maybecol_foreground_0.mp4,assets/targets/hh_hl_unlink_plinko_0393/maybecol_foreground_1.mp4,bottombump_3,maybe,321.6282360134022,maybecol,foreground,hh_hl_unlink_plinko_0393,maybecol,24,assets/targets/hh_hl_unlink_plinko_0393/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0393/maybecol_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/hh_hl_unlink_plinko_0393/maybecol_background_memory_2_0.jpg
937,27087,37,assets/targets/hh_hl_unlink_plinko_0202/maybecol_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0202/maybecol_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0202/maybecol_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0202/maybecol_background_1.mp4,bottombump_2,maybe,381.7639212480982,maybecol,background,hh_hl_unlink_plinko_0202,maybecol,25,assets/targets/hh_hl_unlink_plinko_0202/maybecol_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0202/maybecol_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/hh_hl_unlink_plinko_0202/maybecol_background_memory_2_0.jpg
938,3016,68,assets/targets/lh_ll_unlink_plinko_0217/col_late_foreground_0.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_foreground_1.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_foreground_0.mp4,assets/targets/lh_ll_unlink_plinko_0217/col_late_foreground_1.mp4,bottombump_1,definite,299.69275355286663,col_late,foreground,lh_ll_unlink_plinko_0217,col_late,24,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_1_0.jpg,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_1_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/lh_ll_unlink_plinko_0217/col_late_background_memory_1_0.jpg
939,7094,80,assets/targets/hh_hl_unlink_plinko_0240/col_early_background_0.jpg,assets/targets/hh_hl_unlink_plinko_0240/col_early_background_1.jpg,assets/targets/hh_hl_unlink_plinko_0240/col_early_background_0.mp4,assets/targets/hh_hl_unlink_plinko_0240/col_early_background_1.mp4,topbump_1,maybe,298.0,col_early,background,hh_hl_unlink_plinko_0240,col_early,12,assets/targets/hh_hl_unlink_plinko_0240/col_early_background_memory_2_0.jpg,assets/targets/hh_hl_unlink_plinko_0240/col_early_background_memory_2_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/hh_hl_unlink_plinko_0240/col_early_background_memory_2_0.jpg
940,4968,32,assets/targets/lh_ll_unlink_plinko_0091/nocol_background_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/nocol_background_1.jpg,assets/targets/lh_ll_unlink_plinko_0091/nocol_background_0.mp4,assets/targets/lh_ll_unlink_plinko_0091/nocol_background_1.mp4,topbump_0,definite,237.3627255637639,nocol,background,lh_ll_unlink_plinko_0091,nocol,10,assets/targets/lh_ll_unlink_plinko_0091/nocol_background_memory_1_0.jpg,assets/targets/lh_ll_unlink_plinko_0091/nocol_background_memory_1_1.jpg,0,brown,632dd45fb49858b31338c11c,1,assets/targets/lh_ll_unlink_plinko_0091/nocol_background_memory_1_0.jpg
